DESCRIPCION,LATITUD,LONGITUD
AEROPORT,41.3038736,2.0724734
ARC DE TRIOMF,41.3924353,2.1804163
ARENYS DE MAR,41.5776847,2.5492036
BADALONA,41.4458407,2.2488907
BALENYA-ELS HOSTALETS,41.8144863,2.2329795
BALENYA-TONA-SEVA,41.8417065,2.2473584
BARBERA DEL VALLES,41.5131445,2.1183542
BARCELONA-CLOT-ARAGO,41.4095992,2.1905257
BARCELONA-ESTACIO DE FRANÇA,41.3844324,2.1853105
BARCELONA-PASSEIG DE GRACIA,41.392338,2.164656
BARCELONA-SANT ANDREU COMTAL,41.435673,2.1934035
BARCELONA-SANTS,41.379335,2.1394773
BELLVITGE,41.355564,2.1152487
BLANES,41.6737575,2.769047
BORGONYA,42.0646475,2.2419078
CABRERA DE MAR-VILASSAR DE MAR,41.506864,2.4013433
CALAFELL,41.1895998,1.5745238
CALDES D'ESTRAC,41.5685224,2.5271529
CALELLA,41.6147387,2.6656214
CAMPDEVANOL,42.2216131,2.1657572
CANET DE MAR,41.5865608,2.5811047
CARDEDEU,41.6356234,2.3589649
CASTELLBELL I EL VILAR-MONISTROL DE MONTSERRAT,41.628645,1.8681931
CASTELLBISBAL,41.4732577,1.9679072
CASTELLDEFELS,41.2787584,1.9786173
CENTELLES,41.7994546,2.2226634
CERDANYOLA DEL VALLES,41.4931904,2.146393
CERDANYOLA UNIVERSITAT,41.4960945,2.1150336
CORNELLA,41.3580326,2.0694776
CUBELLES,41.2043089,1.6759281
CUNIT,41.1949866,1.631522
EL MASNOU,41.477027,2.310429
EL PAPIOL,41.4354,2.002539
EL PRAT DE LLOBREGAT,41.3314058,2.0906231
EL VENDRELL,41.2182587,1.5359795
ELS MONJOS,41.3146746,1.6599427
FIGARO,41.724218,2.2716195
GARRAF,41.2545489,1.9023463
GAVA,41.3032321,2.0098046
GELIDA,41.4482158,1.8647788
GRANOLLERS-CANOVELLES,41.6113434,2.2772799
GRANOLLERS-CENTRE,41.599741,2.291247
GUALBA,41.7181933,2.5387372
HOSTALRIC,41.7479722,2.6315024
LA FARGA DE BEBIE,42.1300831,2.2039106
LA GARRIGA,41.686099,2.2888386
LA GRANADA,41.3639003,1.7341398
LA LLAGOSTA,41.5103531,2.1994129
LA MOLINA,42.3445934,1.9559514
LA SAGRERA-MERIDIANA,41.424371,2.188854
L'ARBOÇ,41.2738229,1.6001033
LAVERN-SUBIRATS,41.3957338,1.7694788
LES FRANQUESES DEL VALLES,41.6289563,2.2952142
LES FRANQUESES-GRANOLLERS NORD,41.6169899,2.2945361
L'HOSPITALET DE LLOBREGAT,41.364207,2.09866
LLINARS DEL VALLES,41.638723,2.4057269
MAÇANET-MASSANES,41.7072202,2.719419
MALGRAT DE MAR,41.6386953,2.7343186
MANLLEU,41.9998791,2.2693136
MANRESA,41.7204521,1.8267803
MARTORELL,41.4794339,1.9266805
MATARO,41.533679,2.4454458
MOLINS DE REI,41.4106681,2.0200844
MOLLET-SANT FOST,41.5334106,2.217228
MOLLET-SANTA ROSA,41.5372765,2.2058264
MONTCADA I REIXAC,41.484248,2.188077
MONTCADA I REIXAC-MANRESA,41.4837509,2.1855549
MONTCADA I REIXAC-SANTA MARIA,41.483927,2.185392
MONTCADA-BIFURCACIO,41.470733,2.1793281
MONTCADA-RIPOLLET,41.496746,2.181925
MONTGAT,41.4631131,2.2719603
MONTGAT-NORD,41.4688828,2.2867775
MONTMELO,41.5502523,2.2464562
OCATA,41.4788285,2.3200155
PALAUTORDERA,41.6714084,2.4536742
PARETS DEL VALLES,41.5561401,2.2266276
PINEDA DE MAR,41.6222525,2.6929077
PLAÇA  DE CATALUNYA,41.3867713,2.16631
PLANOLES,42.3143913,2.0998317
PLATJA DE CASTELLDEFELS,41.2672389,1.9569472
PREMIA DE MAR,41.487645,2.3540806
PUIGCERDA,42.429518,1.9246499
RIBES DE FRESER,42.298685,2.1653593
RIELLS I VIABREA-BREDA,41.7264426,2.567899
RIPOLL,42.1960343,2.1958647
RUBI,41.475602,2.0359923
SABADELL CENTRE,41.5456011,2.1164539
SABADELL NORD,41.5620267,2.0970025
SABADELL SUD,41.5289702,2.1050239
SANT ADRIA DE BESOS,41.4245427,2.2303097
SANT ANDREU ARENAL,41.4317406,2.1824497
SANT ANDREU DE LLAVANERES,41.5552239,2.4982668
SANT CELONI,41.6864168,2.4914641
SANT CUGAT DEL VALLES,41.4811671,2.0793256
SANT FELIU DE LLOBREGAT,41.383674,2.0470732
SANT JOAN DESPI,41.3693,2.059313
SANT MARTI DE CENTELLES,41.76036,2.2491296
SANT MIQUEL DE GONTERES,41.5694331,1.9734433
SANT POL DE MAR,41.6016378,2.6240904
SANT QUIRZE DE BESORA-MONTESQUIU,42.104825,2.217712
SANT SADURNI D'ANOIA,41.4203322,1.7938898
SANT VICENÇ DE CALDERS,41.1861054,1.5245117
SANT VICENÇ DE CASTELLET,41.6688715,1.8617008
SANTA PERPETUA DE MOGODA,41.5219473,2.1950199
SANTA SUSANNA,41.630364,2.716376
SEGUR DE CALAFELL,41.1925946,1.6061204
SITGES,41.2390256,1.8100849
TERRASSA,41.5702554,2.0144564
TERRASSA EST,41.5661808,2.0386845
TORDERA,41.7072202,2.719419
TORELLO,42.0519852,2.2599796
TORRE DEL BARO,41.4603746,2.181518
TOSES,42.3207829,2.0151426
URTX-ALP,42.3768775,1.8968278
VACARISSES,41.6025004,1.8930548
VACARISSES-TORREBLANCA,41.586984,1.917034
VIC,41.9310634,2.2489051
VILADECANS,41.3095952,2.0274562
VILADECAVALLS,41.5650666,1.9534516
VILAFRANCA DEL PENEDES,41.3422231,1.7067992
VILANOVA I LA GELTRU,41.2201668,1.7305269
VILASSAR DE MAR,41.5005719,2.3897035
